Ano,Países,Código SH2,Descrição SH2,Valor US$ FOB,Quilograma Líquido
2024,"
México",39,"
Plásticos e suas obras",133153289,28091258
2024,"
Espanha",29,"
Produtos químicos orgânicos",131504919,99551954
2024,"
Estados Unidos",97,"
Objetos de arte, de coleção e antiguidades",129282753,60269
2024,"
China",74,"
Cobre e suas obras",128706761,20794656
2024,"
Argentina",9,"
Café, chá, mate e especiarias",128623042,33935989
2024,"
Estados Unidos",38,"
Produtos diversos das indústrias químicas",126668827,54601213
2024,"
Estados Unidos",8,"
Frutas; cascas de frutos cítricos e de melões",126453015,62919861
2024,"
Países Baixos (Holanda)",33,"
Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas",126139019,12535268
2024,"
Estados Unidos",81,"
Outros metais comuns; ceramais (cermets); obras dessas matérias",121163129,3754941
2024,"
México",33,"
Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas",118724243,17327747
2024,"
Argentina",33,"
Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas",115630793,18127669
2024,"
Alemanha",12,"
Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",110792179,266169552
2024,"
Argentina",74,"
Cobre e suas obras",109716365,10667506
2024,"
México",73,"
Obras de ferro fundido, ferro ou aço",107705763,40686184
2024,"
Países Baixos (Holanda)",28,"
Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",106278382,169819909
2024,"
Chile",76,"
Alumínio e suas obras",103450803,28861436
2024,"
Estados Unidos",82,"
Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns",101850710,11981700
2024,"
México",29,"
Produtos químicos orgânicos",101473877,80933230
2024,"
Canadá",85,"
Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",100956530,11860664
2024,"
México",17,"
Açúcares e produtos de confeitaria",100425762,174853410
2024,"
Japão",39,"
Plásticos e suas obras",98196709,49784030
2024,"
Estados Unidos",4,"
Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",97296114,35865644
