Pais,Produto,Valor_2024,Valor_2026
Argentina,"Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos",5878,78101.0
Argentina,"Minerios, escórias e cinzas",513214027,976139162.0
Argentina,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",695983373,1166410261.0
Argentina,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",94071986,134254750.0
Argentina,Níquel e suas obras,7165121,7597770.0
Argentina,"Objetos de arte, de coleção e antiguidades",1063025,4208648.0
Argentina,"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa",650343,659193.0
Argentina,Obras de espartaria ou de cestaria,1138,566.0
Argentina,"Obras de ferro fundido, ferro ou aço",167575745,223997753.0
Argentina,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",37159697,41539034.0
Argentina,Obras diversas,20886709,21024165.0
Argentina,Obras diversas de metais comuns,72168611,77332054.0
Argentina,Outras fibras têxteis vegetais; fios de papel e tecidos de fios de papel,1140984,1355940.0
Argentina,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",12540542,12570325.0
Argentina,Outros metais comuns; ceramais (cermets); obras dessas matérias,382651,415056.0
Argentina,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",2302557,3718898.0
Argentina,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",377378763,392260569.0
Argentina,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",38961301,41539034.0
Argentina,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,59282101,65775931.0
Argentina,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",600958,667630.0
Argentina,Peles com pelo e suas obras; peles com pelo artificiais,199116,441279.0
Argentina,"Peles, exceto as peles com pelo, e couros",6780251,7597770.0
Argentina,Plantas vivas e produtos de floricultura,28486,28486.0
Argentina,Plásticos e suas obras,752692330,821361188.0
Argentina,Preparações alimentícias diversas,76965750,84611898.0
Argentina,"Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos",17281308,26021579.0
Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",9369516,9941262.0
Argentina,"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria",18440583,17768697.0
Argentina,Produtos cerâmicos,49850827,51067443.0
Argentina,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,2520046,2370342.0
Argentina,Produtos diversos das indústrias químicas,320243941,316598676.0
Argentina,Produtos farmacêuticos,85052748,85052748.0
Argentina,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.",41155452,60053496.0
Argentina,Produtos para fotografia e cinematografia,4431465,5009870.0
Argentina,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",207444833,216952526.0
Argentina,Produtos químicos orgânicos,192399083,255026250.0
Argentina,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",2102320,2038507.0
Argentina,Pólvoras e explosivos; artigos de pirotecnia; fósforos; ligas pirofóricas; matérias inflamáveis,1146036,950024.0
Argentina,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",1409082081,1505096060.0
Argentina,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,23567684,23433928.0
Argentina,"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp",161425505,162623819.0
Argentina,"Sal; enxofre; terras e pedras; gesso, cal e cimento",13894939,13851625.0
Argentina,Seda,5597,5597.0
Argentina,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",94280855,447624347.0
Argentina,Tabaco e seus sucedâneos manufaturados,49246364,51067443.0
Argentina,"Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis",10993835,14378929.0
Argentina,Tecidos de malha,20427938,23302899.0
Argentina,Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados.,3520990,3100619.0
Argentina,"Tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis",22950731,25260593.0
Argentina,"Vestuário e seus acessórios, de malha",9675244,12725607.0
Argentina,"Vestuário e seus acessórios, exceto de Malha",3196468,3404859.0
Argentina,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",4827284720,10416210539.0
Argentina,"Veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização para vias de comunicação",1607997,1591001.0
Argentina,Vidro e suas obras,90575013,92229294.0
Argentina,Zinco e suas obras,81001946,89721119.0
Argentina,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,115630793,108887121.0
Canadá,Adubos (fertilizantes),3431496,16014312.0
Canadá,"Aeronaves e aparelhos espaciais, e suas partes",499172953,667968485.0
Canadá,Algodão,80475,178514.0
Canadá,Alumínio e suas obras,6549060,15593657.0
Canadá,Animais vivos,2351,2351.0
Canadá,Armas e munições; suas partes e acessórios,1063158,1840779.0
Canadá,Artigos de relojoaria,52239,52239.0
Canadá,Açúcares e produtos de confeitaria,674315338,894930419.0
Canadá,"Bebidas, líquidos alcoólicos e vinagres",271615,518758.0
Canadá,Borracha e suas obras,29140407,35023151.0
Canadá,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",1342488,3089633.0
Canadá,Cacau e suas preparações,14259683,17000640.0
Canadá,"Café, chá, mate e especiarias",232066709,289216038.0
Canadá,"Calçados, polainas e artefatos semelhantes; suas partes",8633450,12843996.0
Canadá,"Carnes e miudezas, comestíveis",84680187,116647663.0
Canadá,Cereais,2510304,3187402.0
Canadá,"Chapéus e artefatos de uso semelhante, e suas partes",1256,743.0
Canadá,Cobre e suas obras,1766970,3401706.0
Canadá,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",75985126,122338179.0
Canadá,Embarcações e estruturas flutuantes,18698,20847.0
Canadá,Estanho e suas obras,13564630,76128180.0
Canadá,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,266895,187891.0
Canadá,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns",851690,1236347.0
Canadá,"Ferro fundido, ferro e aço",311333872,317998337.0
Canadá,"Fibras sintéticas ou artificiais, descontínuas",10444,11452.0
Canadá,Filamentos sintéticos ou artificiais,193953,320538.0
Canadá,Frutas; cascas de frutos cítricos e de melões,31753979,31475214.0
Canadá,"Gomas, resinas e outros sucos e extratos vegetais",108247,114738.0
Canadá,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,1669365,2480568.0
Canadá,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",5362179,5125573.0
Canadá,Instrumentos musicais; suas partes e acessórios,38089,38089.0
Canadá,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",11686239,15247435.0
Canadá,"Livros, jornais, gravuras e outros produtos das indústrias gráficas; textos manuscritos ou datilografados, planos e plantas",216626,259357.0
Canadá,"Lã, pelos finos ou grosseiros; fios e tecidos de crina",79667,104347.0
Canadá,"Madeira, carvão vegetal e obras de madeira",27685280,31122116.0
Canadá,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,3546575,5362179.0
Canadá,"Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos",219023,844101.0
Canadá,"Minerios, escórias e cinzas",162623819,162623819.0
Canadá,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",100956530,128488960.0
Canadá,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",5079970,4111860.0
Canadá,Níquel e suas obras,1005704,3089633.0
Canadá,"Objetos de arte, de coleção e antiguidades",41999,163245.0
Canadá,"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa",724593,892523.0
Canadá,"Obras de ferro fundido, ferro ou aço",14739403,18603984.0
Canadá,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",18208150,17768697.0
Canadá,Obras diversas,3100619,2586948.0
Canadá,Obras diversas de metais comuns,238616,205633.0
Canadá,Outras fibras têxteis vegetais; fios de papel e tecidos de fios de papel,151611,153132.0
Canadá,"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos",810909,718157.0
Canadá,Outros metais comuns; ceramais (cermets); obras dessas matérias,2000,1935.0
Canadá,"Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos",25968274,35811238.0
Canadá,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",9826404,13751386.0
Canadá,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",747269,665484.0
Canadá,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,10846082,14942928.0
Canadá,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",4987197,8420815.0
Canadá,Peles com pelo e suas obras; peles com pelo artificiais,305725,238616.0
Canadá,"Peles, exceto as peles com pelo, e couros",4015930,3980137.0
Canadá,Penas e penugem preparadas e suas obras; flores artificiais; obras de cabelo,5012,5012.0
Canadá,Plantas vivas e produtos de floricultura,765347,770042.0
Canadá,Plásticos e suas obras,5856436,5857655.0
Canadá,Preparações alimentícias diversas,38577486,48265178.0
