Ano,Pais,Produto,Valor,Peso_kg,Tipo
2024,Argentina,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",94280855,222007874,Histórico
2024,Países Baixos (Holanda),"Bebidas, líquidos alcoólicos e vinagres",94218434,122388293,Histórico
2024,Argentina,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",94071986,13208282,Histórico
2024,Alemanha,"Carnes e miudezas, comestíveis",92778856,21066253,Histórico
2024,Países Baixos (Holanda),Estanho e suas obras,92474641,3034621,Histórico
2024,Argentina,Vidro e suas obras,90575013,29000628,Histórico
2024,Argentina,Produtos farmacêuticos,85052748,6286731,Histórico
2024,Chile,Borracha e suas obras,84872446,18312393,Histórico
2024,Canadá,"Carnes e miudezas, comestíveis",84680187,29838444,Histórico
2024,México,Produtos farmacêuticos,84611898,1528669,Histórico
2024,Alemanha,"Ferro fundido, ferro e aço",84421872,115298015,Histórico
2024,Estados Unidos,Cacau e suas preparações,83989930,10008124,Histórico
2024,Japão,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",83746959,13634830,Histórico
2024,Argentina,Zinco e suas obras,81001946,24891916,Histórico
2024,Estados Unidos,"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria",80739898,28891251,Histórico
2024,Países Baixos (Holanda),Preparações alimentícias diversas,80624512,19851733,Histórico
2024,Chile,Açúcares e produtos de confeitaria,79625090,146746604,Histórico
2024,Alemanha,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",79307912,94405390,Histórico
2024,China,Produtos químicos orgânicos,79273294,46361888,Histórico
2024,Chile,Preparações alimentícias diversas,78188624,17671288,Histórico
2024,Estados Unidos,Estanho e suas obras,77985661,2551253,Histórico
2024,Países Baixos (Holanda),"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",77332054,5606938,Histórico
2024,Argentina,Preparações alimentícias diversas,76965750,16583897,Histórico
2024,Argentina,Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas,76152832,24503984,Histórico
2024,Países Baixos (Holanda),Cacau e suas preparações,76128180,6481672,Histórico
2024,Canadá,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",75985126,177593109,Histórico
2024,Espanha,"Ferro fundido, ferro e aço",75294884,65857670,Histórico
2024,Países Baixos (Holanda),Outros metais comuns; ceramais (cermets); obras dessas matérias,75289576,1511999,Histórico
2024,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",75185353,3179655,Histórico
2024,Estados Unidos,"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",74134821,139316126,Histórico
2024,México,Produtos diversos das indústrias químicas,73499105,23471678,Histórico
2024,Japão,Produtos químicos orgânicos,72993362,31925056,Histórico
2024,Alemanha,"Madeira, carvão vegetal e obras de madeira",72891775,119500607,Histórico
2024,Argentina,Obras diversas de metais comuns,72168611,6210933,Histórico
2024,Chile,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,72077900,12829225,Histórico
2024,Estados Unidos,Zinco e suas obras,71087262,26210915,Histórico
2024,México,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",69532824,79986265,Histórico
2024,México,"Peles, exceto as peles com pelo, e couros",67272637,8623026,Histórico
2024,Alemanha,Tabaco e seus sucedâneos manufaturados,66236417,7146981,Histórico
2024,Chile,Produtos diversos das indústrias químicas,64929874,25264105,Histórico
2024,Alemanha,"Calçados, polainas e artefatos semelhantes; suas partes",64892200,2281472,Histórico
2024,Países Baixos (Holanda),Produtos diversos das indústrias químicas,64888080,56838635,Histórico
2024,Países Baixos (Holanda),"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",64602295,125757,Histórico
2024,Países Baixos (Holanda),"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",64054411,10398202,Histórico
2024,China,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",62867372,10165020,Histórico
2024,Argentina,"Carnes e miudezas, comestíveis",61589333,24918112,Histórico
2024,Chile,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",61324317,37386680,Histórico
2024,Alemanha,"Obras de ferro fundido, ferro ou aço",60175777,16443373,Histórico
2024,Argentina,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,59282101,92406493,Histórico
2024,Alemanha,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",59208315,6907507,Histórico
2024,Chile,Cacau e suas preparações,59039453,7256704,Histórico
2024,Estados Unidos,"Sal; enxofre; terras e pedras; gesso, cal e cimento",58134901,528234837,Histórico
2024,Japão,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",57984056,7328253,Histórico
2024,Espanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",57918651,6181331,Histórico
2024,China,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,56396187,71202987,Histórico
2024,Espanha,Estanho e suas obras,54375189,1864469,Histórico
2024,Países Baixos (Holanda),"Madeira, carvão vegetal e obras de madeira",53903588,83229169,Histórico
2024,México,Alumínio e suas obras,52937721,8996723,Histórico
2024,México,Preparações alimentícias diversas,51421210,7745008,Histórico
2024,Países Baixos (Holanda),Cereais,51260644,251146377,Histórico
2024,Espanha,Açúcares e produtos de confeitaria,50767456,101662799,Histórico
2024,China,"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas",50567281,14296685,Histórico
2024,México,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",50083024,1314285,Histórico
2024,Espanha,"Madeira, carvão vegetal e obras de madeira",50043792,256366746,Histórico
2024,Argentina,Produtos cerâmicos,49850827,82130563,Histórico
2024,Argentina,Tabaco e seus sucedâneos manufaturados,49246364,8996402,Histórico
2024,Estados Unidos,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,48787767,39289362,Histórico
2024,Chile,Produtos farmacêuticos,48611618,3171085,Histórico
2024,Alemanha,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,48265178,3323970,Histórico
2024,Chile,"Café, chá, mate e especiarias",47911033,13232862,Histórico
2024,Estados Unidos,Obras diversas,45890688,6669316,Histórico
2024,México,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",44492621,9917472,Histórico
2024,Estados Unidos,Embarcações e estruturas flutuantes,44319777,976211,Histórico
2024,Chile,"Minerios, escórias e cinzas",44077098,64973469,Histórico
2024,Chile,Produtos químicos orgânicos,43580097,24346003,Histórico
2024,Argentina,Frutas; cascas de frutos cítricos e de melões,43485796,45914564,Histórico
2024,Chile,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",42347643,808288,Histórico
2024,China,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",41433196,4668989,Histórico
2024,Argentina,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.",41155452,64068873,Histórico
2024,Alemanha,Produtos químicos orgânicos,40631389,7442386,Histórico
2024,México,"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",39933386,28283770,Histórico
2024,Chile,"Obras de ferro fundido, ferro ou aço",39282645,10097889,Histórico
2024,China,"Papel e cartão; obras de pasta de celulose, de papel ou de cartão",39181733,52637519,Histórico
2024,Argentina,"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria",38961301,10638122,Histórico
2024,Canadá,Preparações alimentícias diversas,38577486,6004000,Histórico
2024,China,Outros metais comuns; ceramais (cermets); obras dessas matérias,38422839,630343,Histórico
2024,Japão,"Madeira, carvão vegetal e obras de madeira",38335911,348316604,Histórico
2024,Japão,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,37945837,23600893,Histórico
2024,Japão,Preparações alimentícias diversas,37572286,4569219,Histórico
2024,Japão,"Bebidas, líquidos alcoólicos e vinagres",37500013,51970932,Histórico
2024,Argentina,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",37159697,19655309,Histórico
2024,Espanha,Plásticos e suas obras,37092603,24633672,Histórico
2024,Espanha,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",37028450,5810204,Histórico
